#Source: http://thegreatestbooks.org/
1,In Search of Lost Time ,Marcel Proust ,1913
2,Don Quixote,Miguel de Cervantes,1605
3,Ulysses,James Joyce,1922
4,Hamlet,William Shakespeare,1601
5,Moby Dick,Herman Melville,1851
6,War and Peace,Leo Tolstoy,1869
7,The Odyssey,Homer,-700
8,The Divine Comedy ,Dante Alighieri ,1472
9,The Brothers Karamazov ,Fyodor Dostoyevsky,1880
10,One Hundred Years of Solitude ,Gabriel Garcia Marquez ,1967
11,The Great Gatsby ,F. Scott Fitzgerald,1925
12,Madame Bovary,Gustave Flaubert,1857
13,The Iliad,Homer,-700
14,The Adventures of Huckleberry Finn,Mark Twain,1884
15,Lolita ,Vladimir Nabokov,1955
16,Crime and Punishment ,Fyodor Dostoyevsky,1866
17,Alice's Adventures in Wonderland ,Lewis Carroll,1865
18,The Sound and the Fury,William Faulkner,1929
19,Wuthering Heights,Emily Brontë,1847
20,Anna Karenina,Leo Tolstoy ,1877
21,Pride and Prejudice,Jane Austen,1813
22,To the Lighthouse ,Virginia Woolf ,1927
23,The Catcher in the Rye,J. D. Salinger,1945
24,Middlemarch,George Eliot,1871
25,Heart of Darkness,Joseph Conrad,1899
26,Nineteen Eighty Four,George Orwell,1949
27,Gulliver's Travels,Jonathan Swift ,1726
28,Great Expectations,Charles Dickens,1861
29,One Thousand and One Nights,India/Iran/Iraq/Egypt,1706
30,The Stories of Anton Chekhov,Anton Chekhov,1961
31,"Absalom, Absalom!",William Faulkner,1936
32,The Red and the Black,Stendhal,1830
33,Mrs. Dalloway ,Virginia Woolf ,1925
34,The Aeneid,Virgil,-19
35,Catch-22 ,Joseph Heller,1961
36,The Trial,Franz Kafka,1925
37,The Stranger ,Albert Camus,1946
38,Leaves of Grass,Walt Whitman,1855
39,Jane Eyre,Charlotte Brontë,1847
40,David Copperfield,Charles Dickens,1850
41,Invisible Man ,Ralph Ellison,1952
42,Collected Fiction,Jorge Luis Borges,1935
43,The Grapes of Wrath ,John Steinbeck,1939
44,Candide,Voltaire,1759
45,Tristram Shandy,Laurence Sterne,1759
46,Beloved,Toni Morrison,1987
47,The Complete Stories of Franz Kafka,Franz Kafka,1971
48,The Canterbury Tales,Geoffrey Chaucer,1380
49,As I Lay Dying,William Faulkner,1930
50,A Portrait of the Artist as a Young Man ,James Joyce,1917
51,Oedipus the King,Sophocles,-429
52,To Kill a Mockingbird ,Harper Lee,1960
53,The Sun Also Rises ,Ernest Hemingway,1926
54,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1975
55,A Passage to India ,E.M. Forster,1924
56,Dead Souls,Nikolai Gogol,1842
57,Paradise Lost,John Milton,1667
58,Midnight's Children ,Salman Rushdie,1981
59,Antigone,Sophocles,-442
60,Les Misérables,Victor Hugo,1862
61,Emma,Jane Austen,1815
62,Pale Fire ,Vladimir Nabokov,1962
63,The Idiot,Fyodor Dostoyevsky,1868
64,The Magic Mountain,Thomas Mann,1924
65,Oresteia,Aeschylus,-458
66,Gargantua and Pantagruel,Francois Rabelais,1532
67,The Metamorphosis,Franz Kafka,1915
68,Faust,Johann Wolfgang von Goethe,1808
69,Vanity Fair,William Makepeace Thackeray,1847
70,The Portrait of a Lady ,Henry James,1881
71,The Old Man and the Sea,Ernest Hemingway,1952
72,The Good Soldier,Ford Madox Ford,1915
73,Animal Farm,George Orwell,1946
74,The Castle,Franz Kafka,1926
75,Fairy Tales and Stories,Hans Christian Anderson,1843
76,Under the Volcano ,Malcolm Lowry,1947
77,For Whom the Bell Tolls,Ernest Hemingway,1940
78,Journey to the End of The Night,Louis-Ferdinand Céline,1932
79,Tom Jones,Henry Fielding,1749
80,Things Fall Apart ,Chinua Achebe,1958
81,The Flowers of Evil,Charles Baudelaire,1857
82,The Scarlet Letter,Nathaniel Hawthorne,1850
83,Robinson Crusoe,Daniel Defoe,1719
84,Cousin Bette,Honoré de Balzac,1846
85,The Lord of the Rings,J. R. R. Tolkien ,1954
86,Poems of Emily Dickinson,Emily Dickinson,1955
87,Lord of the Flies ,William Golding,1954
88,A Sentimental Education,Gustave Flaubert,1869
89,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971
90,The Possessed,Fyodor Dostoevsky,1872
91,A Farewell to Arms,Ernest Hemingway,1929
92,Oedipus at Colonus,Sophocles,-401
93,Metamorphoses,Ovid,8
94,Brave New World,Aldous Huxley,1931
95,Decameron,Giovanni Boccaccio,1350
96,Stories of Ernest Hemingway,Ernest Hemingway,1987
97,Father Goriot,Honoré de Balzac,1835
98,Sons and Lovers,D. H. Lawrence,1913
99,The Tale of Genji,Murasaki Shikibu,1000
100,Frankenstein ,Mary Shelley,1831
101,The Tin Drum,Günter Grass,1959
102,Fathers and Sons,Ivan Turgenev,1862
103,Collected Poems of W. B. Yeats,W. B. Yeats,1933
104,The Master and Margarita,Mikhail Bulgakov,1966
105,Waiting for Godot,Samuel Beckett,1953
106,The Charterhouse of Parma,Stendhal,1839
107,The Waste Land,T. S. Eliot,1922
108,Tess of the d'Urbervilles,Thomas Hardy,1891
109,The Age of Innocence,Edith Wharton,1920
110,A Doll's House,Henrik Ibsen,1879
111,Nostromo,Joseph Conrad,1904
112,Bleak House,Charles Dickens,1852
113,Electra,Sophocles,-409
114,On the Road,Jack Kerouac,1957
115,King Lear,William Shakespeare,1608
116,Orlando: A Biography,Virginia Woolf ,1923
117,Charlotte's Web,E. B. White,1952
118,All the King's Men,Robert Penn Warren,1946
119,Gone With the Wind ,Margaret Mitchell,1937
120,Slaughterhouse-Five ,Kurt Vonnegut,1969
121,Lord Jim,Joseph Conrad,1900
122,Buddenbrooks,Thomas Mann,1901
123,Dangerous Liaison,Pierre Choderlos de Laclos,1782
124,The Little Prince,Antoine de Saint-Exupéry,1943
125,A Clockwork Orange,Anthony Burgess,1962
126,The Wind in the Willows,Kenneth Grahame,1908
127,Medea,Euripides,-431
128,The Moviegoer,Walker Percy,1961
129,Native Son ,Richard Wright,1940
130,Howards End,E. M. Forster,1910
131,Blood Meridian,Cormac McCarthy,1986
132,A Season in Hell,Arthur Rimbaud,1873
133,"Rabbit, Run ",John Updike,1960
134,My Antonia,Willa Cather,1918
135,Treasure Island,Robert Louis Stevenson,1881
136,Collected Poems,Wallace Stevens,1955
137,The Golden Notebook,Doris Lessing,1962
138,The Poems of Robert Frost,Robert Frost,1969
139,Their Eyes Were Watching God ,Zora Neale Hurston,1937
140,Prometheus Bound,Aeschylus,-415
141,The Plague,Albert Camus,1947
142,The Waves,Virginia Woolf,1931
143,Women in Love,D. H. Lawrence,1920
144,Epic of Gilgamesh,Unknown,-600
145,Doctor Faustus,Thomas Mann,1947
146,Phèdre,Jean Racine,1677
147,Twenty Thousand Leagues Under the Sea,Jules Verne,1870
148,The Color Purple,Alice Walker,1982
148,First Folio,William Shakespeare,1623
149,American Pastoral,Philip Roth,1997
150,Eugenie Grandet,Honoré de Balzac,1833
151,Lost Illusions,Honoré de Balzac,1837
152,The Tempest,William Shakespeare,1610
153,The Ambassadors,Henry James,1903
154,The Count of Monte Cristo,Alexandre Dumas,1844
155,Hunger,Knut Hamsun,1890
156,Household Tales,Brothers Grimm,1812
157,Dubliners,James Joyce,1914
158,An American Tragedy,Theodore Dreiser,1925
159,Seven Against Thebes, Aeschylus,-467
160,The Suppliants,Aeschylus,-470
161,The Persians,Aeschylus,-472
162,The Complete Poetry and Prose of William Blake,William Blake,1827
163,Lysistrata,Aristophanes,-411
164,The Complete Sherlock Holmes,Arthur Conan Doyle,1887
165,Doctor Zhivago,Boris Pasternak,1957
166,The Wind-Up Bird Chronicle,Haruki Murakami,1994
167,Light in August ,William Faulkner,1932
168,The Stories of John Cheever,John Cheever,1978
169,Tartuffe,Molière,1664
170,Confessions of Zeno,Italo Svevo,1923
171,The Misanthrope,Molière,1673
172,Ajax,Sophocles,-450
173,Philoctetes,Sophocles,-409
174,Women of Trachis,Sophocles,-410
175,If on a Winter's Night a Traveller ,Italo Calvino,1979
176,Rebecca,Daphne du Maurier,1938
177,Henderson The Rain King,Saul Bellow,1959
178,Independent People,Halldor Laxness,1946
179,Complete Poems of Giacomo Leopardi,Giacomo Leopardi,1946
180,The Leopard,Giuseppe Tomasi di Lampedusa,1958
181,Nine Stories,J.D. Salinger,1953
182,Little Women,Louisa May Alcott,1868
183,The Heart Is A Lonely Hunter,Carson McCullers,1940
184,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886
185,The Handmaid's Tale,Margaret Atwood,1985
186,Jude the Obscure,Thomas Hardy,1895
187,De Rerum Natura,Lucretius,-55
188,The Bacchae,Euripides,-405
189,Clarissa,Samuel Richardson,1748
190,White Teeth ,Zadie Smith,2000
191,The Mayor of Casterbridge,Thomas Hardy,1886
192,The Pickwick Papers,Charles Dickens,1837
193,A Room With a View,E.M. Forster,1908
194,Atonement,Ian McEwan,2002
195,U.S.A. Trilogy,John Dos Passos,1938
195,The Prime of Miss Jean Brodie ,Muriel Spark,1961
196,"The Lion, The Witch and the Wardrobe ",C.S. Lewis,1950
197,Steppenwolf,Hermann Hesse,1927
198,The Call of the Wild,Jack London,1903
199,The Adventures of Augie March,Saul Bellow,1953
200,The Unbearable Lightness of Being,Milan Kundera,1984
201,The Miser,Molière,1668
202,The Would-Be Invalid,Molière,1673
203,The Critique of the School for Wives,Molière,1662
204,The School for Wives,Molière,1662
205,The Would-Be Gentleman,Molière,1670
206,Don Juan,Molière,1821
207,Pedro Paramo,Juan Rulfo,1955
208,Persuasion,Jane Austen,1818
209,Tender Is the Night,F. Scott Fitzgerald,1934
210,Rabbit at Rest,John Updike,1990
211,Rabbit Is Rich,John Updike,1981
212,The Birds,Aristophanes,-414
213,Herzog ,Saul Bellow,1964
214,The Princess of Cleves,Madame de La Fayette,1678
215,Rabbit Redux, John Updike,1971
216,Macbeth,William Shakespeare,1587
217,Collected Poems of Dylan Thomas,Dylan Thomas,1952
218,Through the Looking Glass,Lewis Carroll,1871
219,Hedda Gabler,Henrik Ibsen,1891
220,One Flew Over the Cuckoo's Nest ,Ken Kesey,1962
