#Source: http://thegreatestbooks.org/
1,Essays,Michel de Montaigne,1580
2,Confessions ,Augustine,398
3,The Interpretation of Dreams,Sigmund Freud,1899
4,The Prince,Niccolo Machiavelli,1532
5,Walden,Henry David Thoreau,1854
6,On the Origin of Species,Charles Darwin,1859
7,The Complete Works of Plato,Plato,-347
8,Pensées,Blaise Pascal,1670
9,The Republic,Plato,-380
10,The Elements of Style,"William Strunk, Jr and E. B. White",1918
11,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782
12,Communist Manifesto,Karl Marx and Friedrich Engels,1848
13,Democracy in America,Alexis de Tocqueville,1840
14,The Diary of a Young Girl,Anne Frank,1944
15,Thus Spake Zarathustra,Friedrich Nietzsche,1883
16,"Speak, Memory",Vladimir Nabokov,1940
17,Silent Spring,Rachel Carson,1962
18,The Histories of Herodotus,Herodotus,-420
19,Homage to Catalonia,George Orwell,1938
20,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936
21,Das Kapital,Karl Marx,1867
22,Relativity,Albert Einstein,1917
23,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,
24,The Autobiography of Malcolm X,Alex Haley,1965
25,Meditations,Marcus Aurelius,167
26,The Structure of Scientific Revolutions,Thomas Kuhn,1962
27,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson,1968
28,Leviathan,Thomas Hobbes,1651
29,The History of the Peloponnesian War,Thucydides,-450
30,The Second Sex,Simone de Beauvoir,1949
31,The Education of Henry Adams,Henry Adams,1918
32,The Principles of Psychology,William James,1890
33,The Second World War,Winston Churchill,1953
34,The Civil War,Shelby Foote,1974
35,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,1882
36,A Room of One's Own,Virginia Woolf,1929
37,Civilization and Its Discontents,Sigmund Freud,1929
38,The Life of Samuel Johnson,James Boswell,1823
39,The Art of War,Sun Zi,-200
40,Selected Essays of T. S. Eliot,T. S. Eliot,1932
41,Pragmatism,William James,1907
42,The Abolition of Man,C. S. Lewis,1943
43,Tao Te Ching,Lao Tsu,-300
44,Annals,Cornelius Tacitus,120
45,Collected Essays of George Orwell,George Orwell,1961
46,Analects,Confucius,-350
47,Discourse on Method,Rene Descartes,1637
48,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973
49,Parallel Lives,Plutarch,120
50,The Liberal Imagination,Lionel Trilling,1950
51,On Liberty,John Stuart Mill,1859
52,Beyond Good and Evil,Friedrich Nietzsche,1886
53,Corpus Aristotelicum,Aristotle,-400
54,Summa Theologica,Thomas Aquinas,1274
55,Memoirs From Beyond the Grave,François René De Chateaubriand,1849
56,Philosophical Investigations,Ludwig Wittgenstein,1953
57,Moveable Feast,Ernest Hemingway,1964
58,Dialogue Concerning the Two Chief World Systems,Galileo,1632
59,The Constitution of Liberty,Friedrich A. Hayek,1960
60,Capitalism and Freedom,Milton Friedman,1962
61,The Decline and Fall of the Roman Empire,Edward Gibbon,1776
62,Modern Times,Paul Johnson,1983
63,The Right Stuff,Tom Wolfe,1979
64,R. E. Lee,Douglas Southall Freeman,1934
65,Black Lamb and Grey Falcon,Rebecca West,1941
66,Witness,Whittaker Chambers,1952
67,If This Is a Man,Primo Levi,1947
68,"Capitalism, Socialism, and Democracy",Joseph Schumpeter,1942
69,Orthodoxy,G. K. Chesterton,1908
70,The Origins of Totalitarianism,Hannah Arendt,1951
71,Encyclopedia Britannica,Encyclopedia Britannica,1771
72,In Cold Blood,Truman Capote,1966
73,Autobiographies,W. B. Yeats,1926
74,Ethics,Baruch de Spinoza,1676
75,The Varieties of Religious Experience,William James,1902
76,The Open Society,Karl Popper,1945
77,Oxford English Dictionary,Oxford University Press,1884
78,Three Essays on the Theory of Sexuality,Sigmund Freud,1905
79,The Golden Bough,James George Frazer,1890
80,Mere Christianity,C. S. Lewis,1942
81,The Wealth of Nations,Adam Smith,1776
82,A Study of History,Arnold J. Toynbee,1961
83,The Seven Storey Mountain,Thomas Merton,1948
84,Civil Disobedience,Henry David Thoreau,1849
85,The Quest for Community,Robert Nisbet,1953
86,Black Boy,Richard Wright,1945
87,The Waning of the Middle Ages,Johan Huizinga,1919
88,Principia Mathematica,Issac Newton,1687
89,Out of Africa,Isak Dinesen,1937
90,Up from Slavery,Booker T. Washington,1901
91,The Myth of Sisyphus,Albert Camus,1942
92,The Road to Serfdom,Friedrich von Hayek,1944
93,The Death and Life of Great American Cities,Jane Jacobs,1961
94,The Frontier in American History,Frederick Jackson Turner,1920
95,An American Dilemma,Gunnar Myrdal,1944
96,History of My Life,Giacomo Casanova,1822
97,A Brief History of Time,Stephen Hawking,
98,On the Genealogy of Morality,Friedrich Nietzsche,1887
99,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay",1788
100,Memoirs of Cardinal De Retz ,Cardinal de Retz,1717
101,"Roll, Jordan, Roll",Eugene Genovese,1972
102,Aspects of the Novel,E. M. Forster,1927
103,The Conservative Mind,Russell Kirk,1953
104,The Memoirs of the Duke of Saint-Simon on the Reign of Louis XIV. and the Regency,Louis de Rouvroy Saint-Simon (duc de),1755
105, The Feynman Lectures on Physics,Richard P. Feynman,1995
106,The Making of the Atomic Bomb,Richard Rhodes,1988
107,The Electric Kool-Aid Acid Test,Tom Wolfe,1968
108,A Mathematician's Apology,G. H. Hardy,1940
109,The Praise of Folly,Erasmus,1509
110,An Enquiry Concerning Human Understanding,David Hume,1748
111,Institutes of the Christian Religion,John Calvin,1536
112,Quotations from Chairman Mao,Mao,1964
113,Words,Jean Paul Sartre,1963
114,The Revolt of the Masses,José Ortega y Gasset,1929
115,The Seven Pillars of Wisdom,T.E. Lawrence,1926
116,Slouching Towards Bethlehem,Joan Didion,1968
117,Samuel Johnson,Walter Jackson Bate,1977
118,Patriotic Gore,Edmund Wilson,1962
119,I Ching,China,-1400
120,On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543
121,Hippocratic Corpus,Hippocrates,-300
122,Jefferson and His Time,Dumas Malone,1948
123,Mythology,Edith Hamilton,1942
124,Rationalism in Politics,Michael Oakeshott,1962
125,Battle Cry of Freedom,James M. McPherson,1988
126,The Face of Battle,John Keegan,1976
127,Histories,Cornelius Tacitus,110
128,Economy and Society,Max Weber,1922
129,Sociobiology,Edward O. Wilson,1975
130,The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921
131,Life on the Mississippi,Mark Twain,1883
132,Two Treatises of Government,John Locke,1689
133,Enneads,Plotinus,250
134,The Harmony of the Worlds,Johannes Kepler,1619
135,Euclid's Elements,Euclid,-280
136,Centesimus Annus,Pope John Paul II,1991
137,The Pursuit of the Millennium,Norman Cohn,1957
138,Apology,Plato,-399
139,The Autobiography of Alice B. Toklas,Gertrude Stein,1933
140,The Great Terror,Robert Conquest,1968
141,The Unconscious,Sigmund Freud,1890
142,Chronicles of Wasted Time,Malcolm Muggeridge,1972
143,The Affluent Society,John Kenneth Galbraith,1958
144,Poetics,Aristotle,-335
